CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex
2760	2999	0.00900269	0	0.859123	0.700164	1
18994	19067	0.00799561	0	0.953689	0.73705	1
6	9379	-43.02	0	0.867816	0.52443	1
20741	20761	-1.02299	0	0.554631	0.487416	1
18994	19064	-0.00900269	0	0.940664	0.732377	1
22042	22048	0.00700378	0	0.874252	0.657229	1
13264	13339	0.0390015	0	0.943305	0.835624	1
11007	11010	0.000999451	0	0.812321	0.665444	1
11007	11012	0.0039978	0	0.930198	0.722624	1
19244	19371	-0.0740051	0	0.915263	0.861982	1
19239	19346	-0.00401306	0	0.773305	0.773663	1
17383	17523	0	0	0.895884	0.657058	1
12365	12528	0.00900269	0	0.86838	0.710009	1
27315	30809	-352.208	0	0.793157	0.505146	1
28136	30248	-154.042	0	0.838136	0.520951	1
30427	30813	-141.08	0	0.955528	0.84295	1
17342	17627	-0.0039978	0	0.869274	0.685513	1
8869	9441	0.0100021	0	0.881404	0.782723	1
9012	9089	0	0	0.939801	0.703076	1
19238	19333	-0.0400085	0	0.893244	0.855402	1
14105	14142	-0.00300598	0	0.702739	0.642894	1
29143	29165	-0.951996	0	0.728341	0.583369	1
27310	27486	-5.017	0	0.681731	0.540245	1
13270	13373	0.0140076	0	0.936527	0.904879	1
20930	22458	-14.022	0	0.588762	0.565779	1
28505	31266	-440.12	0	0.554975	0.576867	1
13195	13786	-0.07901	0	0.902261	0.780411	1
22877	29461	-180.132	0	0.556483	0.424736	1
21054	21158	-0.990997	0	0.84206	0.776405	1
28722	28747	-1.97598	0	0.712598	0.633239	1
28070	28551	-17.991	0	0.827953	0.667721	1
1743	1902	0.0110016	0	0.961633	0.791048	1
4372	4613	-0.0149994	0	0.829766	0.648465	1
11729	11735	-0.00100708	0	0.841867	0.613867	1
1422	1426	-0.0059967	0	0.859493	0.764771	1
11729	11730	0.000991821	0	0.927572	0.671299	1
26593	28439	-59.038	0	0.596906	0.516478	1
18695	19077	-0.00999451	0	0.869025	0.776663	1
11963	12076	-0.000991821	0	0.970644	0.816559	1
21100	21123	0.0189972	0	0.663657	0.678737	1
15280	15293	-0.0139923	0	0.721736	0.720756	1
11647	19480	-23.011	0	0.837539	0.512245	1
2591	2708	0.00499725	0	0.962555	0.797923	1
15280	15290	0.00500488	0	0.859043	0.658762	1
12385	12495	-0.0720062	0	0.92334	0.751602	1
2825	3053	0.0039978	0	0.929079	0.745473	1
20629	20637	-0.0209961	0	0.841256	0.754736	1
24155	24163	-0.00700378	0	0.604417	0.624242	1
27425	28366	-34.023	0	0.776482	0.485715	1
4796	11568	-10.974	0	0.69941	0.56264	1
22923	22945	0.00700378	0	0.948389	0.816927	1
1452	1463	0	0	0.847317	0.709663	1
23573	23796	-0.0349884	0	0.723673	0.456748	1
18250	18518	-0.0440063	0	0.886053	0.76418	1
28506	29246	-43.987	0	0.578256	0.41093	1
13260	13596	-0.0110016	0	0.952599	0.863121	1
20929	20931	0.0130005	0	0.624647	0.693174	1
28699	29146	-28.031	0	0.666292	0.45888	1
21132	21175	-0.026001	0	0.588654	0.560592	1
8755	9057	-0.00899506	0	0.846404	0.567924	1
14120	14149	-0.0120087	0	0.872364	0.749345	1
29369	29944	-45.058	0	0.914253	0.797942	1
28265	29394	-66.052	0	0.760626	0.667973	1
23456	24355	-15.98	0	0.763473	0.506351	1
17139	17238	-0.00700378	0	0.895317	0.830691	1
13499	13583	0.0139923	0	0.888014	0.775537	1
22001	22209	-0.0399933	0	0.864757	0.723471	1
11903	19104	-18.029	0	0.840789	0.584962	1
13526	13571	-0.0169983	0	0.978483	0.893993	1
23466	28678	-123.038	0	0.551477	0.409732	1
23225	23259	-0.00900269	0	0.686385	0.494721	1
27016	27177	-4.024	0	0.94149	0.487115	1
18733	18990	0.000991821	0	0.871324	0.794974	1
8779	10031	-0.0340042	0	0.88751	0.733666	1
29451	29454	-0.00799561	0	0.693856	0.51868	1
17269	17302	0	0	0.802362	0.617213	1
